pair_id,c_type,n_pairs,v_type,V1_class,V1_lemma,NP1,NP2,NP2_anim,V2,ungram_source,alignment,grammatical,ungrammatical,crit_tokens,exclude,exclude_reason
2np_t3_001_A,3,2,A,perception,zien,Oscar,de atleet,animate,lopen,verb_order,false,Oscar heeft de atleet de marathon zien lopen afgelopen weekend.,Oscar heeft de atleet de marathon lopen zien afgelopen weekend.,"[""zien"", ""lopen""]",,
2np_t3_001_B,3,2,B,perception,zien,Oscar,de atleet,animate,lopen,selectional_restriction,false,Oscar heeft de atleet de marathon zien lopen afgelopen weekend.,Oscar heeft de marathon de atleet zien lopen afgelopen weekend.,"[""zien"", ""lopen""]",,
2np_t3_001_C,3,2,C,perception,zien,Oscar,de atleet,animate,lopen,selectional_restriction,true,Oscar heeft de atleet de marathon zien lopen afgelopen weekend.,Oscar heeft de marathon de atleet lopen zien afgelopen weekend.,"[""zien"", ""lopen""]",,
2np_t3_002_A,3,2,A,perception,horen,Vanessa,de muzikant,animate,spelen,verb_order,false,Vanessa heeft de muzikant het concert horen spelen vorige week.,Vanessa heeft de muzikant het concert spelen horen vorige week.,"[""horen"", ""spelen""]",,
2np_t3_002_B,3,2,B,perception,horen,Vanessa,de muzikant,animate,spelen,selectional_restriction,false,Vanessa heeft de muzikant het concert horen spelen vorige week.,Vanessa heeft het concert de muzikant horen spelen vorige week.,"[""horen"", ""spelen""]",,
2np_t3_002_C,3,2,C,perception,horen,Vanessa,de muzikant,animate,spelen,selectional_restriction,true,Vanessa heeft de muzikant het concert horen spelen vorige week.,Vanessa heeft het concert de muzikant spelen horen vorige week.,"[""horen"", ""spelen""]",,
2np_t3_003_A,3,2,A,perception,zien,Pepijn,de wetenschapper,animate,uitvoeren,verb_order,false,Pepijn heeft de wetenschapper het experiment zien uitvoeren deze middag.,Pepijn heeft de wetenschapper het experiment uitvoeren zien deze middag.,"[""zien"", ""uitvoeren""]",,
2np_t3_003_B,3,2,B,perception,zien,Pepijn,de wetenschapper,animate,uitvoeren,selectional_restriction,false,Pepijn heeft de wetenschapper het experiment zien uitvoeren deze middag.,Pepijn heeft het experiment de wetenschapper zien uitvoeren deze middag.,"[""zien"", ""uitvoeren""]",,
2np_t3_003_C,3,2,C,perception,zien,Pepijn,de wetenschapper,animate,uitvoeren,selectional_restriction,true,Pepijn heeft de wetenschapper het experiment zien uitvoeren deze middag.,Pepijn heeft het experiment de wetenschapper uitvoeren zien deze middag.,"[""zien"", ""uitvoeren""]",,
2np_t3_004_A,3,2,A,perception,zien,Wendy,de architect,animate,creëren,verb_order,false,Wendy heeft de architect het ontwerp zien creëren afgelopen jaar.,Wendy heeft de architect het ontwerp creëren zien afgelopen jaar.,"[""zien"", ""creëren""]",,
2np_t3_004_B,3,2,B,perception,zien,Wendy,de architect,animate,creëren,selectional_restriction,false,Wendy heeft de architect het ontwerp zien creëren afgelopen jaar.,Wendy heeft het ontwerp de architect zien creëren afgelopen jaar.,"[""zien"", ""creëren""]",,
2np_t3_004_C,3,2,C,perception,zien,Wendy,de architect,animate,creëren,selectional_restriction,true,Wendy heeft de architect het ontwerp zien creëren afgelopen jaar.,Wendy heeft het ontwerp de architect creëren zien afgelopen jaar.,"[""zien"", ""creëren""]",,
2np_t3_005_A,3,2,A,perception,zien,Quinn,de bakker,animate,bakken,verb_order,false,Quinn heeft de bakker de taart zien bakken deze ochtend.,Quinn heeft de bakker de taart bakken zien deze ochtend.,"[""zien"", ""bakken""]",,
2np_t3_005_B,3,2,B,perception,zien,Quinn,de bakker,animate,bakken,selectional_restriction,false,Quinn heeft de bakker de taart zien bakken deze ochtend.,Quinn heeft de taart de bakker zien bakken deze ochtend.,"[""zien"", ""bakken""]",,
2np_t3_005_C,3,2,C,perception,zien,Quinn,de bakker,animate,bakken,selectional_restriction,true,Quinn heeft de bakker de taart zien bakken deze ochtend.,Quinn heeft de taart de bakker bakken zien deze ochtend.,"[""zien"", ""bakken""]",,
2np_t3_006_A,3,2,A,perception,zien,Yolanthe,de grootmoeder,animate,bereiden,verb_order,false,Yolanthe heeft de grootmoeder het gerecht zien bereiden deze avond.,Yolanthe heeft de grootmoeder het gerecht bereiden zien deze avond.,"[""zien"", ""bereiden""]",,
2np_t3_006_B,3,2,B,perception,zien,Yolanthe,de grootmoeder,animate,bereiden,selectional_restriction,false,Yolanthe heeft de grootmoeder het gerecht zien bereiden deze avond.,Yolanthe heeft het gerecht de grootmoeder zien bereiden deze avond.,"[""zien"", ""bereiden""]",,
2np_t3_006_C,3,2,C,perception,zien,Yolanthe,de grootmoeder,animate,bereiden,selectional_restriction,true,Yolanthe heeft de grootmoeder het gerecht zien bereiden deze avond.,Yolanthe heeft het gerecht de grootmoeder bereiden zien deze avond.,"[""zien"", ""bereiden""]",,
2np_t3_007_A,3,2,A,perception,horen,Vincent,de zanger,animate,zingen,verb_order,false,Vincent heeft de zanger het lied horen zingen vorig weekend.,Vincent heeft de zanger het lied zingen horen vorig weekend.,"[""horen"", ""zingen""]",,
2np_t3_007_B,3,2,B,perception,horen,Vincent,de zanger,animate,zingen,selectional_restriction,false,Vincent heeft de zanger het lied horen zingen vorig weekend.,Vincent heeft het lied de zanger horen zingen vorig weekend.,"[""horen"", ""zingen""]",,
2np_t3_007_C,3,2,C,perception,horen,Vincent,de zanger,animate,zingen,selectional_restriction,true,Vincent heeft de zanger het lied horen zingen vorig weekend.,Vincent heeft het lied de zanger zingen horen vorig weekend.,"[""horen"", ""zingen""]",,
2np_t3_008_A,3,2,A,perception,horen,Sander,de presentator,animate,geven,verb_order,false,Sander heeft de presentator de speech horen geven afgelopen week.,Sander heeft de presentator de speech geven horen afgelopen week.,"[""horen"", ""geven""]",,
2np_t3_008_B,3,2,B,perception,horen,Sander,de presentator,animate,geven,selectional_restriction,false,Sander heeft de presentator de speech horen geven afgelopen week.,Sander heeft de speech de presentator horen geven afgelopen week.,"[""horen"", ""geven""]",,
2np_t3_008_C,3,2,C,perception,horen,Sander,de presentator,animate,geven,selectional_restriction,true,Sander heeft de presentator de speech horen geven afgelopen week.,Sander heeft de speech de presentator geven horen afgelopen week.,"[""horen"", ""geven""]",,
2np_t3_009_A,3,2,A,perception,horen,Teun,de leraar,animate,vertellen,verb_order,false,Teun heeft de leraar het verhaal horen vertellen vorig jaar.,Teun heeft de leraar het verhaal vertellen horen vorig jaar.,"[""horen"", ""vertellen""]",,
